name,category,rating,address,subtypes,type
Tepi Cafe,cafes,3.5,"Jl. Sriwedani No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Cafe, Food store",kuliner
Kelas Pagi Yogyakarta(Rumah KPY),attractions,4.8,"Jl. Brigjen Katamso, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121","Coworking space, Art school, Coffee shop, Community center, Design agency, Film and photograph library, Photo agency, Photography class, Photography school, Talent agency",kuliner
Oppa Keopi,coffee shops,4.1,"Jl. Malioboro No.42, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",Coffee shop,kuliner
Tugu Yogyakarta Monument,attractions,4.8,"Jl. Jend. Sudirman, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233","Historical landmark, Monument",kuliner
Rumah Musik P23,cafes,4.6,"Jl. Purwanggan No.23, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55112",Cafe,kuliner
Cafe AMC,cafes,4.0,"6933+G3H, Jl. HOS Cokroaminoto, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",Cafe,kuliner
Tumbuh di Boemi,restaurants,4.7,"Warak Kidul, Sumberadi, Gamping, Sleman Regency, Special Region of Yogyakarta 55291",Restaurant,kuliner
Angkringan Jogja,coffee shops,5.0,"Jl. Pangurakan No.Km 0, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121",Coffee shop,kuliner
Agen Kopi Bubuk Hitam Produk BLACK Coffee Pagaralam (BCP) Yogyakarta,grosir kopi,4.5,"Tegalrejo TR III/1113C RT/RW : 020/006 .Kel/Desa : Tegalrejo .Kec :, Tegalrejo, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244","Coffee wholesaler, Coffee roastery, Coffee stand, Espresso bar",kuliner
Hiro Tower - Yogyakarta Station (inside EC Cafe & Coworking Space),education center,5.0,"Jl. Pakuningratan No.29, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Education center,kuliner
Coffee Road,coffee shops,,"Jl. Malioboro No.79, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Coffee shop,kuliner
Kotta GO Hotel Yogyakarta,hotels,4.7,"Jl. Pangeran Diponegoro No.87, Bumijo, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231",Hotel,kuliner
Angkringan Pakdhe Amin,coffee shops,4.4,"59W8+76H, Alun-Alun Utara St, Prawirodirjan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55131",Coffee shop,kuliner
Gairah Malam Kopi,cafes,,"59W7+G7G, Alun-Alun Utara St, Ngupasan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55122","Cafe, Coffee shop",kuliner
cafe for you,cafes,2.5,"6948+RJW, Jl. Perwakilan, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",Cafe,kuliner
Little Garden Yogyakarta,plant nursery,5.0,"Jl. Gajah Mada No.19B, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",Plant nursery,kuliner
Gaia Cosmo Hotel,hotels,4.6,"Jl. Ipda Tut Harsono No.16, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165",Hotel,kuliner
WARUNG KOPI JOGJA (ꦮꦫꦸꦁꦏꦺꦴꦥꦶꦗꦺꦴꦒ꧀ꦗ),coffee shops,4.0,"Jl. Ngasem Kp 2/197, RT.53/RW.15, Kadipaten, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55132",Coffee shop,kuliner
Rame Rame Cafe,restaurants,4.0,"Jl. Cokrodipuran No.12, RT.08/RW.02, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Diner,kuliner
The House of Raminten,restaurants,4.5,"Jl. F.M. Noto No.7, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Restaurant, Indonesian restaurant",kuliner
Gudeg Pawon,restoran jawa,4.5,"Jl. Prof. DR. Soepomo Sh No.36, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164","Javanese restaurant, Restaurant",kuliner
Raminten's Kitchen,restoran jawa,4.3,"Jl. Sabirin, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Javanese restaurant, Restaurant",kuliner
Soto Sampah,restoran soto ayam,4.3,"Jl. Kranggan No.2, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Soto ayam restaurant,kuliner
Jejamuran,restaurants,4.6,"79V6+R73, Jl. Pandowoharjo, Niron, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512","Indonesian restaurant, Restaurant",kuliner
Rumah Makan Rasa Sayange,restoran ikan bakar,4.5,"Jl. Jetis Pasiraman No.11, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Ikan bakar restaurant,kuliner
Bakmi Jowo Mbah Gito,restoran jawa,4.3,"Jl. Nyi Ageng Nis No.9, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171","Javanese restaurant, Noodle shop",kuliner
Kedai Kebun Forum꧋ꦏꦼꦣꦻꦏꦼꦧꦸꦤ꧀ꦥ꦳ꦺꦴꦫꦸꦩ꧀,restaurants,4.6,"Tirtodipuran St No.3, Mantrijeron, Yogyakarta City, Special Region of Yogyakarta 55143","Restaurant, Indonesian restaurant, Salad shop",kuliner
Rumah Makan Mbah Buyut,restaurants,4.4,"Jl. Suryodiningratan No.3, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55141",Restaurant,kuliner
Lumpia SAMIJAYA,restaurants,4.5,"Jl. Malioboro, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Indonesian restaurant,kuliner
Warung Makan Cak Koting,restoran jawa,4.3,"Jl. Doktor Sutomo No.57, Bausasran, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55211","Javanese restaurant, Restaurant",kuliner
Kedai Lur,restaurants,4.5,"Jl. Gowongan Kidul No.29 A, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233","Indonesian restaurant, Diner",kuliner
Tengkleng Gajah,restoran sate,4.4,"Jl. Kaliurang Timur No.9, Gantalan, Minomartani, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581","Satay restaurant, Diner, Indonesian restaurant",kuliner
The Westlake Resto,restaurants,4.5,"783Q+294, Bedog, Jl. Ringroad Barat, Baturan, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291","Restaurant, Fish and chips takeaway",kuliner
Yammie Pathuk Kemetiran Kidul Yogyakarta,restaurants,4.5,"Jl. Kemetiran Kidul No.63, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272","Noodle shop, Diner",kuliner
Lie Djiong Restaurant,restaurants,4.5,"Jl. Brigjen Katamso No.21, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121","Chinese restaurant, Diner",kuliner
SGPC Bu Wiryo 1959,restaurants,4.3,"Jl. Agro No.10, Kocoran, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Indonesian restaurant,kuliner
KESUMA Restaurant,restaurants,4.7,"Gg. Demarkasi No.58, III, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Indonesian restaurant,kuliner
Bu Joko’s Food Cart,restaurants,4.9,"Jl. Dagen No.2A 001, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Restaurant,kuliner
Ayam Goreng Bu Tini,restaurants,4.5,"Jl. Sultan Agung No.17, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55112","Chicken restaurant, Indonesian restaurant, Restaurant",kuliner
ViaVia Jogja,restaurants,4.4,"Jl. Prawirotaman No.30, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153","Health food restaurant, Restaurant",kuliner
Tempat makan,restaurants,5.0,"Jl. Kranggan No.23, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Brunch restaurant,kuliner
Gudeg Mercon Bu Tinah,restoran jawa,4.1,"Jl. Asem Gede No.8, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Javanese restaurant,kuliner
Yam Yam Restaurant Yogyakarta,restaurants,4.8,"Jl. Prawirotaman No.39, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Thai restaurant,kuliner
The Tree Restaurant Yogyakarta,restaurants,4.8,"Dawangsari 02/03 No.45, Dowang Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Restaurant,kuliner
Baru Restaurant,restaurants,4.5,"Jl. Kusbini, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222","Chinese restaurant, Family restaurant, Noodle shop",kuliner
LaVana Kaliurang,restaurants,4.7,"Kaliurang, Hargobinangun, Pakem, Sleman Regency, Special Region of Yogyakarta 55582",Restaurant,kuliner
Rumah Makan Flamboyan,restoran jawa,4.5,"Jalan Flamboyan CTX No.39 Karang Asam Baru, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Javanese restaurant,kuliner
THE MANGLUNG VIEW & RESTO,restaurants,4.4,"Jl. Ngoro Ngoro Ombo No.16, Patuk, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862",Buffet restaurant,kuliner
Pak Min Klaten Chicken Soup,restaurants,4.4,"Mataram St, Suryatmajan, Danurejan, Yogyakarta City, Special Region of Yogyakarta 55213","Soup shop, Restaurant, Soup restaurant",kuliner
ABHAYAGIRI - Venue and Dining,restaurants,4.5,"Heritage Resort, Sumberwatu, RT.02/RW.01, Sumberwatu, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Restaurant, Amphitheater, Buddhist temple, Horse riding field, Hotel, Lunch restaurant, Meeting planning service, Swimming pool, Villa, Wedding venue",kuliner
Rumah Makan Ikan Bakar Slengseng,ikan bakar restaurant,4.5,"Jl. Babaran No.2B, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55167",Ikan bakar restaurant,kuliner
Warung Makan Bu Sum,restoran jawa,4.5,"Jl. Pabringan, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Javanese restaurant, Diner",kuliner
Gazebo Garden Restaurant,restaurants,4.4,"59RC+P52, Jl. Brigjen Katamso, Keparakan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55152","Restaurant, Buffet restaurant",kuliner
Gudeg Yu Narni Tugu,restoran jawa,4.4,"Jl. Margo Utomo Jl. Kb. Dalem, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233","Javanese restaurant, Breakfast restaurant, Rice restaurant",kuliner
Kuliner Pecel & Gudeg Ibu Lely Beringharjo,restaurants,4.9,"Teras, Jl. Malioboro No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Brunch restaurant, Diner, Restaurant, Snack bar",kuliner
Rumah Makan Rata-Rata BUGISAN,restaurants,4.3,"Jl. Sugeng Jeroni No.571, Patangpuluhan, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55251","Restaurant, Brunch restaurant, Buffet restaurant, Health food restaurant, Health food store, Rice restaurant",kuliner
Lesehan SBTB Terang Bulan Malioboro,restaurants,4.4,"Jl. Malioboro No.55272, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272",Restaurant,kuliner
