name,category,rating,address,subtypes,type,price_estimate
Toko Oleh-oleh Khas Jogja,toko,5.0,"Sariwanisan, Margorejo, Tempel, Sleman Regency, Special Region of Yogyakarta 55552",Store,oleh_oleh,75000
Oleh-Oleh Trio,store,4.8,"Jl. Magelang KM.12, Beteng, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511",Store,oleh_oleh,75000
Toko Salman Oleh-Oleh Haji,toko barang keagamaan,4.9,"Jl. Utara Stadion No.99, Karangsari, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282",Religious goods store,oleh_oleh,75000
Pusat Oleh-Oleh Ayu Camilan,pemasok produk makanan,4.5,"Jl. Cendrawasih No.190b, Manukan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283","Food products supplier, Pastry shop",oleh_oleh,50000
Oleh-Oleh Keripik Getuk GEPRANIA,food producer,4.9,"Jl. Dusun Pojok Jl. Pojok Pinka, Tiyosan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Food producer, Food and beverage exporter, Food manufacturer, Food processing company, Food products supplier",oleh_oleh,75000
Oma Opa Cakery Tajem - Oleh-oleh Jogja,toko roti,4.9,"Denokan, Maguwoharjo, Depok, Sleman Regency, Special Region of Yogyakarta 55282",Bakery,oleh_oleh,75000
Bakpia Kukus Tugu Jogja Kaliurang,toko kue,4.5,"Kaliurang St No.10A, Manggung, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55284",Cake shop,oleh_oleh,50000
Toko Oleh-Oleh Bakpia Pathok Rizky Pusat (Gentan),toko makanan,4.5,"Kaliurang St No.KM 10, Gentan, Sinduharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",Deli,oleh_oleh,25000
"Master Oleh Oleh | Jalan Kaliurang KM. 4,5",toko roti,4.6,"KM 4 No. 81 A, Jl. Kaliurang RW.5, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Bakery, Food products supplier",oleh_oleh,50000
Kurmanis Jogja,toko bahan makanan,4.9,"Jl. Palagan Tentara Pelajar No.Km. 9, RT.03/RW.10, Tambak Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Grocery store,oleh_oleh,75000
